model,step,loss,rolling_loss,correct,running_accuracy,window_accuracy,category,target_index,name,predicted_category,predicted_index
RNN,1,2.99587082862854,2.99587082862854,0,0.0,0.0,Dutch,3,Kees de Jong,French,5
RNN,2,2.921863555908203,2.9588671922683716,0,0.0,0.0,Irish,8,Liam Walsh,French,5
RNN,3,2.9223175048828125,2.946683963139852,0,0.0,0.0,Greek,7,Ευάγγελος Παπαδάκης,Japanese,10
RNN,4,2.890740394592285,2.93269807100296,0,0.0,0.0,Dutch,3,Ruben Smit,German,6
RNN,5,2.9413795471191406,2.9344343662261965,0,0.0,0.0,Vietnamese,17,Trần Cường,Japanese,10
RNN,6,2.91658616065979,2.931459665298462,0,0.0,0.0,Portuguese,13,Jorge Silva,German,6
RNN,7,2.8911783695220947,2.9257051944732666,0,0.0,0.0,Arabic,0,عمر الخطيب,Irish,8
RNN,8,2.779388189315796,2.9074155688285828,0,0.0,0.0,German,6,Hannah Schneider,Irish,8
RNN,9,3.049494743347168,2.923202143775092,0,0.0,0.0,Spanish,16,Miguel Pérez,Irish,8
RNN,10,2.9279489517211914,2.9236768245697022,0,0.0,0.0,Arabic,0,عمر المالكي,Greek,7
RNN,11,2.8040828704833984,2.9128046469254927,0,0.0,0.0,German,6,Wolfgang Hoffmann,Dutch,3
RNN,12,2.8185782432556152,2.9049524466196694,0,0.0,0.0,Vietnamese,17,Huỳnh Hoàng,Dutch,3
RNN,13,2.863896608352661,2.901794305214515,0,0.0,0.0,Greek,7,Στέφανος Αθανασίου,Dutch,3
RNN,14,2.8611648082733154,2.898892198290144,0,0.0,0.0,Irish,8,Patrick Murphy,Dutch,3
RNN,15,2.9192399978637695,2.900248718261719,0,0.0,0.0,French,5,Jean-Luc d'Aubigné,Dutch,3
RNN,16,2.777509927749634,2.8925775438547134,0,0.0,0.0,Portuguese,13,Rui Oliveira,German,6
RNN,17,2.7547740936279297,2.8844714585472557,0,0.0,0.0,Irish,8,Aoife Kelly,German,6
RNN,18,2.672553062438965,2.8726982143190174,1,0.05555555555555555,0.05555555555555555,German,6,Maximilian Hoffmann,German,6
RNN,19,2.8666186332702637,2.872378236369083,0,0.05263157894736842,0.05263157894736842,Japanese,10,鈴木翔,Irish,8
RNN,20,3.086717128753662,2.883095180988312,0,0.05,0.05,Czech,2,Štěpán Černý,Dutch,3
RNN,21,2.6964430809020996,2.874206985746111,0,0.047619047619047616,0.047619047619047616,Dutch,3,Sander van Dijk,Irish,8
RNN,22,3.079043388366699,2.8835177313197744,0,0.045454545454545456,0.045454545454545456,Korean,11,윤수빈,Irish,8
RNN,23,2.607337713241577,2.871509904446809,0,0.043478260869565216,0.043478260869565216,Irish,8,Brendan Murphy,German,6
RNN,24,2.995265483856201,2.8766663869222007,0,0.041666666666666664,0.041666666666666664,Russian,14,Роман Васильев,Irish,8
RNN,25,2.611898422241211,2.866075668334961,0,0.04,0.04,Dutch,3,Finn van Dijk,Irish,8
